Geçen sözler,Türkçe karşılığı,Özgün Fransızca yazımı
aberasyon,sapınç,aberration
ablatif,çıkma durumu,ablatif
abone,1) sürdürümcü 2) sürdürüm,abonné
absorbe,1) emme 2) soğurma,absorbé
abstre,soyut,abstrait
absürt,"saçma, usdışı",absurde
adaptasyon,uyarlama,adaptation
adapte,uyarlanmış,adapté
adaptör,uyarlaç,adapteur
adenit,akkan yangısı,adénite
adres,bulunak,adresse
aerometre,havaölçer,aéromètre / η αερομετρία
afazi,söz yitimi,aphasie / η αφασία
aferist,"vurguncu, çıkarcı",affairiste
afiş,ası,affiche
afişe,"açıklamak, açığa vurmak",affiché
afoni,ses yitimi,aphonie / η αφωνία
aforizma,"özlüsöz, özsöz, özdeyiş",aphonie / ο αφορισμός
aglütinasyon,kümeleşim,agglutination
agnosi,tanısızlık,agnosie / η αγνωσία
agnostik,bilinemezci,agnostique ο/η/το αγνωστικ-/ός/ή/όν
agorafobi,alan korkusu,agoraphobie / η αγοραφοβία
agrafi,yazma yitimi,agraphie / η αγραφία
agrandisman,büyültme,agrandissement
ajan,"1) görevli, aracı 2) gizli görevli, gizmen",agent
ajanda *,andaç,agenda
ajur,"delikli işleme, gözenek",ajour
akont,öndelik,àcompte
akort,(çalgı için) düzen,accord
akromatopsi,renkkörlüğü,achromatopsie / η αχρωματοψία
akrostiş,adlama,acrostiche / η ακροστοιχεία
aks,dingil,axe
aksan,"vurgu, söyleyiş",accent
akselerasyon,ivme,accélération
akselerograf,ivmeyazar,accélérographe
akselerometre,ivmeölçer,accéléromètre
aksesuar *,1) eklenti 2) donatımlık,accessoire
aksiyom,belit,axiome / το αξίωμα
aksiyon,eylem,action
aksiyoner,paydaş,actionnaire
aktif *,"1) etkin, canlı 2) etkili, etken",actif
aktör,(erkek) oyuncu,acteur
aktüel,güncel,actuel
akustik,"1) yankı bilimi 2) yankı düzeni 3) yankılanım, sesdağılım",acoustique / η ακουστική
akuzatif,belirtme durumu,accusatif
akü (akümülatör),akımtoplar,accumulateur
alafranga,batılıca,alla franca
alaminüt,"çarçabuk, ayaküstü",à la minute
alarm,tetikdur,alarme
alaturka,doğuluca,alla turca
alegori,yerine,allégorie / η αλληγορία
